epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.57,0.71556,0.2,1,0.75201,0.00080016,0.00026672,0.00080016,0.00026672,0.00080016,0.00026672,0.00080016,0.00026672
2,214.11,0.607,0.6,1,0.53998,0.00156864,0.00052288,0.00156864,0.00052288,0.00156864,0.00052288,0.00156864,0.00052288
3,271.319,0.50123,1,1,0.3946,0.00225295,0.000750984,0.00225295,0.000750984,0.00225295,0.000750984,0.00225295,0.000750984
4,323.686,0.39724,0.6,1,0.40049,0.0028531,0.000951032,0.0028531,0.000951032,0.0028531,0.000951032,0.0028531,0.000951032
5,388.484,0.30604,0.8,1,0.31866,0.00336907,0.00112302,0.00336907,0.00112302,0.00336907,0.00112302,0.00336907,0.00112302
6,461.882,0.22856,1,1,0.22766,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,539.97,0.20686,1,1,0.20097,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,602.64,0.17032,0.8,1,0.21299,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,665.198,0.13454,1,1,0.13994,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,707.653,0.10717,0.8,1,0.1853,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
