epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.40032,0.64556,0.6,1,0.58927,0.00052298,0.00052298,0.00052298
2,7.27339,0.34561,1,1,0.24001,0.00102525,0.00102525,0.00102525
3,10.3551,0.17481,1,1,0.1485,0.00147252,0.00147252,0.00147252
4,13.4402,0.16877,1,1,0.21402,0.00141945,0.00141945,0.00141945
5,16.0237,0.12706,1,1,0.19411,0.00133693,0.00133693,0.00133693
6,18.4227,0.05963,0.8,1,0.27367,0.00125442,0.00125442,0.00125442
7,21.2931,0.11514,0.8,1,0.42933,0.0011719,0.0011719,0.0011719
8,23.9416,0.13794,0.8,1,0.25571,0.00108938,0.00108938,0.00108938
9,26.5248,0.04894,1,1,0.17855,0.00100687,0.00100687,0.00100687
10,29.2167,0.04322,0.8,1,0.24104,0.000924352,0.000924352,0.000924352
11,31.846,0.06058,1,1,0.17109,0.000841835,0.000841835,0.000841835
12,34.5019,0.08102,0.8,1,0.17605,0.000759318,0.000759318,0.000759318
13,37.0481,0.03282,1,1,0.12731,0.000676802,0.000676802,0.000676802
14,39.4813,0.05757,1,1,0.09251,0.000594286,0.000594286,0.000594286
15,42.0868,0.03167,1,1,0.13052,0.000511769,0.000511769,0.000511769
16,44.8666,0.03795,0.8,1,0.15228,0.000429253,0.000429253,0.000429253
17,47.455,0.05126,0.8,1,0.16023,0.000346736,0.000346736,0.000346736
18,50.2555,0.04237,0.8,1,0.16989,0.00026422,0.00026422,0.00026422
19,52.7708,0.04336,0.8,1,0.14818,0.000181703,0.000181703,0.000181703
20,55.2683,0.03837,0.8,1,0.20292,9.91865e-05,9.91865e-05,9.91865e-05
